gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income,name,email
M,Some College,433493,<=25,Y,E,,N,Blue Collar,3High,Owner,Northeast,3,E,Christopher Keough,Christopher.Keough@mail.com
M,Bach,102001,<=45,Y,I,,N,Blue Collar,1Low,Owner,South,8,F,Walter Chavez,Walter.Chavez@mail.com
M,Grad,253752,<=65,Y,D,Married,N,Professional,1Low,Owner,South,3,I,Allan Avalos,Allan.Avalos@mail.com
M,Grad,1009612,<=45,Y,C,Married,Y,Professional,1Low,Owner,Northeast,1,J,Christopher Lunn,Christopher.Lunn@mail.com
U,<HS,1323576,NaN,N,C,Married,Y,Professional,1Low,,West,6,I,Sara Chase,Sara.Chase@mail.com
F,HS,400602,<=55,Y,B,,N,Sales/Service,1Low,Owner,West,1,E,Brandy Calloway,Brandy.Calloway@mail.com
F,HS,197617,>65,N,D,,Y,Retired,1Low,Owner,Midwest,1,D,Patricia Glenn,Patricia.Glenn@mail.com
F,Bach,496516,<=65,Y,B,Married,U,Professional,1Low,Owner,South,1,A,Adela Highsmith,Adela.Highsmith@mail.com
M,Grad,1500000,<=55,N,A,Married,N,Professional,1Low,Renter,Midwest,1,G,John Viesselman,John.Viesselman@mail.com
M,Bach,286626,<=45,Y,C,Married,Y,Professional,1Low,Owner,South,1,H,Theodore Egan,Theodore.Egan@mail.com
M,Bach,0,NaN,Y,E,,Y,Others,1Low,Owner,South,2,E,Leonard Farruggio,Leonard.Farruggio@mail.com
M,HS,291233,<=65,Y,J,Married,N,Sales/Service,1Low,Owner,Midwest,2,D,Curtis Olson,Curtis.Olson@mail.com
F,HS,246400,<=55,Y,G,Married,N,Blue Collar,1Low,Renter,South,8,F,Bertha Covello,Bertha.Covello@mail.com
U,HS,1000000,NaN,N,H,Single,N,Sales/Service,1Low,Owner,Northeast,6,C,Jennifer Wright,Jennifer.Wright@mail.com
M,Some College,270353,<=45,Y,J,,Y,Blue Collar,1Low,,South,3,H,Lewis Strefeler,Lewis.Strefeler@mail.com
U,HS,137634,<=45,N,F,,Y,Blue Collar,1Low,Owner,South,2,E,Jody Gutierrez,Jody.Gutierrez@mail.com
M,Bach,142080,<=35,Y,E,,Y,Professional,1Low,Owner,Northeast,2,F,Larry Collins,Larry.Collins@mail.com
M,<HS,337856,>65,N,C,,Y,Retired,1Low,Owner,West,1,B,Gary Paker,Gary.Paker@mail.com
M,Bach,264314,>65,Y,B,Married,N,Retired,1Low,Owner,Midwest,8,E,Anthony Gomez,Anthony.Gomez@mail.com
M,<HS,0,>65,Y,G,,U,Retired,1Low,Renter,West,4,D,Luis Anderson,Luis.Anderson@mail.com
F,<HS,0,NaN,N,E,,Y,Sales/Service,1Low,Renter,West,9,C,Michele Magee,Michele.Magee@mail.com
F,Some College,177452,<=25,N,I,,N,Sales/Service,1Low,Owner,West,5,E,Kristen Kirby,Kristen.Kirby@mail.com
M,HS,240879,<=35,Y,I,,N,Professional,1Low,Owner,West,2,E,Charles Painter,Charles.Painter@mail.com
F,Some College,137016,<=25,Y,G,Single,N,Sales/Service,1Low,Renter,Northeast,8,A,Monica Fry,Monica.Fry@mail.com
M,Some College,666000,<=25,Y,C,,U,Sales/Service,1Low,Owner,Midwest,2,E,Jacob Henry,Jacob.Henry@mail.com
M,Bach,354740,<=35,Y,I,,N,Professional,2Med,Owner,Northeast,2,I,Peter Switzer,Peter.Switzer@mail.com
M,Grad,210152,>65,Y,F,Married,Y,Sales/Service,1Low,Owner,Northeast,3,E,Stanley Coe,Stanley.Coe@mail.com
M,Some College,453603,<=65,N,B,Married,N,Sales/Service,1Low,Owner,South,1,E,Arthur Ochoa,Arthur.Ochoa@mail.com
M,Some College,177016,NaN,Y,C,Married,Y,Sales/Service,1Low,Owner,South,5,D,Stephen Foss,Stephen.Foss@mail.com
M,Some College,105185,NaN,Y,J,,Y,Professional,1Low,Owner,Midwest,2,F,Jesus Foye,Jesus.Foye@mail.com
F,Grad,600000,NaN,Y,G,Single,N,Professional,1Low,Renter,Northeast,1,B,Jennifer Homer,Jennifer.Homer@mail.com
M,Bach,81750,NaN,N,E,Single,U,Sales/Service,1Low,Owner,Northeast,8,D,Robert Graham,Robert.Graham@mail.com
M,Bach,268744,NaN,Y,C,Married,Y,Sales/Service,1Low,Owner,South,1,F,Roberto Calhoun,Roberto.Calhoun@mail.com
M,Bach,65675,<=55,Y,I,Married,U,Blue Collar,1Low,Owner,South,6,E,Kenneth Miland,Kenneth.Miland@mail.com
F,HS,292120,<=65,Y,E,,Y,Professional,1Low,Owner,South,2,G,Velma Beaty,Velma.Beaty@mail.com
M,,436000,NaN,Y,F,Married,U,Sales/Service,3High,Owner,South,4,C,Charles Snyder,Charles.Snyder@mail.com
F,Grad,0,<=65,Y,G,Single,U,Professional,1Low,Renter,Northeast,9,B,Phyllis Jenkins,Phyllis.Jenkins@mail.com
M,Bach,613125,<=25,Y,C,Married,N,Sales/Service,3High,Owner,South,2,L,Edward Orizabal,Edward.Orizabal@mail.com
F,Bach,104640,<=65,Y,E,,Y,Professional,1Low,Owner,South,2,D,Kimberly Thomas,Kimberly.Thomas@mail.com
M,Some College,226529,<=35,Y,E,Single,N,Blue Collar,1Low,Owner,South,2,H,William Hale,William.Hale@mail.com
M,Some College,211460,<=55,Y,E,Married,U,Others,2Med,Owner,South,1,B,Michael Scoggins,Michael.Scoggins@mail.com
F,HS,0,<=55,Y,I,Married,N,Blue Collar,1Low,Owner,Midwest,8,F,Norma Ferland,Norma.Ferland@mail.com
F,Bach,226720,<=55,Y,E,Married,Y,Sales/Service,2Med,Owner,West,2,E,Alice Craig,Alice.Craig@mail.com
F,HS,129421,<=55,Y,G,,U,Blue Collar,1Low,Renter,South,2,B,Jennifer Steelman,Jennifer.Steelman@mail.com
M,HS,246078,<=55,Y,B,,N,Blue Collar,1Low,Owner,Northeast,4,E,Donald Hall,Donald.Hall@mail.com
M,Some College,358677,<=45,N,C,,Y,Professional,3High,Owner,Midwest,2,G,John Mack,John.Mack@mail.com
F,Bach,1058662,NaN,Y,B,,N,Professional,3High,Owner,South,1,K,Monica Horth,Monica.Horth@mail.com
F,Some College,548106,NaN,N,A,Married,U,Sales/Service,1Low,,West,9,C,Tiffany Simien,Tiffany.Simien@mail.com
M,Grad,668170,<=35,Y,C,Married,Y,Professional,3High,Owner,South,1,G,Larry Arias,Larry.Arias@mail.com
M,Some College,184962,<=65,Y,E,Married,U,Blue Collar,1Low,Owner,Midwest,2,E,Joseph Parmenter,Joseph.Parmenter@mail.com
M,Bach,317299,<=65,Y,E,,N,Professional,1Low,Owner,South,2,B,Clinton Drew,Clinton.Drew@mail.com
F,Grad,170312,<=65,Y,B,Married,N,Sales/Service,2Med,Owner,South,1,E,Valerie Rice,Valerie.Rice@mail.com
M,HS,280784,<=55,N,H,Single,N,Professional,1Low,Owner,South,1,E,Matthew Miller,Matthew.Miller@mail.com
F,Bach,805248,<=45,Y,B,,Y,Professional,1Low,Owner,South,1,L,Patricia Stouffer,Patricia.Stouffer@mail.com
M,Grad,675800,<=45,Y,C,Married,Y,Professional,3High,Owner,West,2,I,Robert Sliter,Robert.Sliter@mail.com
F,Bach,306024,<=55,Y,B,Married,U,Professional,2Med,Owner,South,1,F,Anna Libby,Anna.Libby@mail.com
F,Some College,450682,<=35,N,D,,N,Professional,1Low,Owner,Midwest,2,A,Karen Forbes,Karen.Forbes@mail.com
F,Bach,512300,<=35,Y,C,,N,Professional,1Low,Owner,Northeast,1,H,Christina Feliciano,Christina.Feliciano@mail.com
M,Bach,329267,<=45,Y,C,Married,Y,Sales/Service,2Med,Owner,Midwest,1,H,John Carl,John.Carl@mail.com
F,Bach,719928,NaN,Y,C,,Y,Sales/Service,1Low,Renter,West,1,G,Stephine Landry,Stephine.Landry@mail.com
M,Grad,603020,<=65,Y,B,Married,U,Professional,1Low,Owner,South,1,J,Micheal Antonucci,Micheal.Antonucci@mail.com
F,Bach,229030,<=55,Y,C,,Y,Blue Collar,2Med,Owner,Midwest,1,F,Jo Horwitz,Jo.Horwitz@mail.com
F,Some College,0,NaN,N,D,,N,Blue Collar,1Low,Owner,Midwest,3,B,Tonya Epps,Tonya.Epps@mail.com
M,HS,210326,<=55,Y,E,,N,Professional,2Med,Owner,South,1,G,Refugio Thomas,Refugio.Thomas@mail.com
M,Grad,0,<=65,Y,B,Married,N,Professional,1Low,,South,2,E,Ronald Lytle,Ronald.Lytle@mail.com
F,HS,372978,>65,N,C,,Y,Retired,1Low,Owner,South,1,K,Nancy Gallagher,Nancy.Gallagher@mail.com
M,Grad,303292,>65,Y,E,,N,Retired,1Low,Owner,Northeast,2,F,Michael Spore,Michael.Spore@mail.com
M,Grad,0,<=35,Y,C,Married,Y,Professional,1Low,Owner,Midwest,4,F,James Kendrick,James.Kendrick@mail.com
M,HS,460785,<=55,Y,C,Married,U,Sales/Service,3High,Owner,West,1,D,Rickey Harryman,Rickey.Harryman@mail.com
M,Bach,735455,<=65,Y,B,Married,Y,Retired,2Med,Owner,South,1,J,John Knight,John.Knight@mail.com
F,Some College,240592,<=65,Y,B,,N,Others,1Low,Renter,South,1,D,Lena Crank,Lena.Crank@mail.com
F,Some College,0,<=35,Y,F,Single,Y,Professional,1Low,Renter,Midwest,3,E,Esther Johnson,Esther.Johnson@mail.com
M,Some College,1536900,<=45,Y,B,Married,Y,Professional,2Med,Owner,South,1,H,Dominic Pouliot,Dominic.Pouliot@mail.com
F,Some College,692956,<=65,Y,B,Married,N,Professional,2Med,Owner,Midwest,3,E,Ruth Wilcox,Ruth.Wilcox@mail.com
F,Some College,0,NaN,Y,H,Married,N,Retired,1Low,,West,5,H,Nina Woods,Nina.Woods@mail.com
M,Some College,0,<=55,Y,I,Single,U,Blue Collar,1Low,Renter,Midwest,5,F,Anthony Lyons,Anthony.Lyons@mail.com
M,Grad,2110240,<=45,Y,C,Married,Y,Professional,3High,Owner,West,1,L,Clarence Lowery,Clarence.Lowery@mail.com
F,HS,259007,<=65,Y,C,Married,U,Sales/Service,2Med,Owner,South,2,F,Joanna Sweeny,Joanna.Sweeny@mail.com
M,Bach,342720,NaN,Y,F,,U,Sales/Service,1Low,Owner,Northeast,7,E,Shawn Mondragon,Shawn.Mondragon@mail.com
F,Some College,299781,<=65,Y,D,Married,N,Retired,1Low,Renter,South,3,C,Cecilia Peck,Cecilia.Peck@mail.com
M,HS,0,<=45,Y,H,Married,Y,Sales/Service,1Low,Renter,Midwest,9,A,Moises Wray,Moises.Wray@mail.com
M,Some College,0,<=55,N,J,Married,U,Professional,1Low,Owner,Midwest,1,D,James Rudolph,James.Rudolph@mail.com
F,Some College,283247,<=25,Y,C,,Y,Sales/Service,2Med,Owner,South,3,H,Dorothy Houghtelling,Dorothy.Houghtelling@mail.com
M,,645955,<=35,Y,B,,Y,Professional,1Low,Owner,West,1,H,Harold Swenson,Harold.Swenson@mail.com
M,Bach,567508,<=65,Y,C,Married,Y,Retired,1Low,Owner,Midwest,1,L,Marvin Crawford,Marvin.Crawford@mail.com
F,Some College,0,>65,Y,D,Married,N,Retired,1Low,Owner,Northeast,1,H,Shantel Kesselman,Shantel.Kesselman@mail.com
F,HS,49418,<=55,N,G,,U,Blue Collar,1Low,,Midwest,9,E,Elizabeth Huffman,Elizabeth.Huffman@mail.com
F,Bach,121927,<=55,Y,J,Married,N,Professional,1Low,Owner,Midwest,6,F,Michelle Carradine,Michelle.Carradine@mail.com
F,HS,265524,<=45,Y,F,Married,Y,Professional,1Low,Renter,South,1,I,Erin Valentino,Erin.Valentino@mail.com
M,HS,240323,NaN,N,F,Married,U,Blue Collar,2Med,Owner,Northeast,8,E,Ramiro Bernard,Ramiro.Bernard@mail.com
M,Bach,0,<=35,Y,A,Single,U,Sales/Service,1Low,Renter,South,4,H,Stephen Harris,Stephen.Harris@mail.com
M,Some College,237129,<=55,Y,J,Married,Y,Sales/Service,1Low,Owner,South,1,E,Joseph Torres,Joseph.Torres@mail.com
M,Bach,390656,<=45,Y,C,Married,Y,Professional,3High,Owner,South,1,I,Pedro Wesley,Pedro.Wesley@mail.com
M,HS,0,>65,Y,D,,N,Retired,1Low,Owner,South,8,A,Robert Marois,Robert.Marois@mail.com
M,<HS,0,NaN,N,G,Single,U,Blue Collar,1Low,Renter,South,9,A,Earl Williams,Earl.Williams@mail.com
M,Bach,380192,NaN,Y,A,Single,U,Professional,1Low,,Midwest,1,K,Arnold Cowden,Arnold.Cowden@mail.com
U,Some College,0,<=25,Y,A,,U,Sales/Service,1Low,Renter,South,5,D,Julie Oakley,Julie.Oakley@mail.com
F,Grad,156306,<=55,N,E,,U,Others,1Low,Owner,Midwest,2,E,Briana Ferguson,Briana.Ferguson@mail.com
M,Bach,199683,<=35,Y,F,Married,Y,Professional,2Med,Owner,South,1,E,James Mccormack,James.Mccormack@mail.com
M,Some College,531920,<=45,N,F,Married,U,Sales/Service,1Low,Owner,West,5,D,Ken Lombard,Ken.Lombard@mail.com
M,Bach,510774,<=45,Y,B,Married,Y,Sales/Service,3High,Owner,South,2,K,Christopher Alder,Christopher.Alder@mail.com
U,HS,220430,NaN,Y,C,,Y,Blue Collar,1Low,Owner,South,1,F,Christie Levenstein,Christie.Levenstein@mail.com
M,Some College,1010975,<=25,Y,C,,Y,Blue Collar,3High,Owner,Northeast,1,F,Norman Diaz,Norman.Diaz@mail.com
F,HS,394165,<=55,Y,E,,N,Blue Collar,1Low,Owner,Northeast,2,F,Karen Massey,Karen.Massey@mail.com
F,Bach,305745,<=55,Y,G,,N,Others,1Low,Owner,South,1,E,Patricia Thomas,Patricia.Thomas@mail.com
M,HS,0,<=65,N,H,Married,N,Sales/Service,1Low,Renter,Northeast,3,D,Allan Dangerfield,Allan.Dangerfield@mail.com
M,Some College,926194,<=35,Y,B,,N,Sales/Service,1Low,Owner,South,1,L,Bryce Rusert,Bryce.Rusert@mail.com
F,Bach,110068,<=55,Y,I,Married,N,Professional,1Low,Owner,Midwest,5,C,Tammy Coffman,Tammy.Coffman@mail.com
F,Bach,292719,<=55,Y,B,Married,Y,Professional,2Med,Owner,Northeast,4,G,Patricia Albright,Patricia.Albright@mail.com
F,Some College,129870,<=65,N,I,Single,N,Sales/Service,1Low,Owner,Midwest,2,F,Alba Farley,Alba.Farley@mail.com
M,Some College,143749,<=45,Y,C,,U,Blue Collar,1Low,Owner,Midwest,2,F,Robert Torpey,Robert.Torpey@mail.com
F,Some College,359700,<=45,Y,C,Married,Y,Professional,3High,Owner,West,2,G,Victoria Stemp,Victoria.Stemp@mail.com
M,Some College,0,<=25,Y,E,,N,Blue Collar,1Low,Owner,Northeast,5,F,Abraham Douglas,Abraham.Douglas@mail.com
M,Some College,182553,<=45,Y,H,Married,U,Professional,2Med,Owner,South,4,G,Richard Mulqueen,Richard.Mulqueen@mail.com
F,HS,102416,>65,Y,C,Married,Y,Sales/Service,1Low,Owner,South,3,D,Christina Blackwell,Christina.Blackwell@mail.com
F,Bach,333540,<=35,Y,C,Married,U,Sales/Service,1Low,Owner,South,1,G,Isabel Spillman,Isabel.Spillman@mail.com
F,Some College,0,<=65,N,A,Married,N,Sales/Service,1Low,Renter,Northeast,7,D,Victoria Myers,Victoria.Myers@mail.com
M,Some College,318826,<=25,N,G,Single,Y,Blue Collar,1Low,Renter,West,2,E,Richard Willet,Richard.Willet@mail.com
M,Bach,271846,<=65,N,B,Married,N,Professional,1Low,Owner,Midwest,1,J,Willis Vanzant,Willis.Vanzant@mail.com
M,Bach,236355,<=45,Y,C,Married,Y,Professional,1Low,Owner,South,1,H,Roger Rangel,Roger.Rangel@mail.com
M,Grad,379047,<=35,Y,C,Married,Y,Professional,3High,Owner,Midwest,2,E,Leonard Barbour,Leonard.Barbour@mail.com
U,Bach,424609,<=25,Y,E,,U,Sales/Service,2Med,Owner,West,2,G,Jill Rosian,Jill.Rosian@mail.com
M,HS,104051,<=65,Y,F,,Y,Blue Collar,1Low,Owner,Midwest,8,A,Charles Pacheco,Charles.Pacheco@mail.com
F,Grad,618923,<=35,N,E,,Y,Professional,1Low,Owner,West,3,G,Jean Malone,Jean.Malone@mail.com
F,Bach,174487,<=55,N,J,Married,N,Professional,1Low,Owner,South,1,F,Emma Parson,Emma.Parson@mail.com
F,Bach,104509,<=45,Y,B,,Y,Professional,1Low,Owner,South,2,E,Paulette Williams,Paulette.Williams@mail.com
M,Grad,60931,NaN,Y,G,Single,U,Sales/Service,1Low,Renter,Northeast,5,E,James Mattson,James.Mattson@mail.com
F,HS,471370,>65,N,D,,N,Retired,1Low,Owner,West,2,C,Sandra Thammavongsa,Sandra.Thammavongsa@mail.com
F,HS,566800,NaN,Y,C,Married,Y,Professional,1Low,Owner,Midwest,1,C,Carolyn Bynum,Carolyn.Bynum@mail.com
F,HS,140043,<=55,Y,C,Married,Y,Professional,1Low,Owner,Midwest,1,F,Sasha Bertran,Sasha.Bertran@mail.com
F,Grad,0,<=35,Y,G,Single,Y,Sales/Service,1Low,,Northeast,3,C,Tracey Atherton,Tracey.Atherton@mail.com
F,Some College,1019749,<=35,Y,A,Single,U,Blue Collar,1Low,Owner,Northeast,1,L,Bobbi Lanosga,Bobbi.Lanosga@mail.com
F,HS,80224,<=65,N,G,,Y,Blue Collar,1Low,Renter,West,9,E,Alberta Strong,Alberta.Strong@mail.com
M,HS,140566,>65,Y,F,Married,U,Professional,1Low,Owner,Midwest,8,D,Gregory Vichidvongsa,Gregory.Vichidvongsa@mail.com
F,Grad,182907,<=55,Y,A,Single,Y,Professional,1Low,Renter,Midwest,1,I,Jasmine Whitmer,Jasmine.Whitmer@mail.com
M,Grad,168733,>65,Y,I,Married,N,Retired,1Low,Owner,Midwest,4,F,Tyrone Barker,Tyrone.Barker@mail.com
M,Some College,38262,>65,Y,D,,N,Retired,1Low,Owner,South,3,G,Jesse Freeman,Jesse.Freeman@mail.com
M,HS,179523,<=65,Y,D,Married,N,Retired,1Low,Owner,South,5,C,Jerry Hill,Jerry.Hill@mail.com
F,Grad,410265,<=35,Y,C,,Y,Professional,3High,Owner,South,1,H,Maria Riedel,Maria.Riedel@mail.com
F,Some College,114240,<=45,N,G,Single,Y,Sales/Service,1Low,Renter,Midwest,3,B,Cynthia Suomela,Cynthia.Suomela@mail.com
M,Bach,420652,NaN,Y,B,,N,Others,2Med,Owner,West,5,F,Terry Blood,Terry.Blood@mail.com
M,Bach,175184,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,6,G,Donald Hess,Donald.Hess@mail.com
M,Some College,0,<=45,N,J,Single,Y,Blue Collar,1Low,Owner,Midwest,3,D,Donald Arnold,Donald.Arnold@mail.com
M,HS,161374,>65,Y,B,Married,N,Professional,1Low,Owner,South,3,E,Charles Roberts,Charles.Roberts@mail.com
F,Some College,285580,<=25,Y,B,,U,Blue Collar,2Med,Owner,Northeast,3,F,Teresa Jackson,Teresa.Jackson@mail.com
F,Grad,676170,<=55,N,C,,U,Professional,1Low,,Northeast,1,G,Lucille Davis,Lucille.Davis@mail.com
F,Bach,350871,<=55,Y,E,Married,Y,Professional,1Low,Owner,South,1,I,Teri Maldonado,Teri.Maldonado@mail.com
M,Some College,151924,<=55,N,G,,Y,Professional,1Low,Renter,South,1,C,Carlos Cabler,Carlos.Cabler@mail.com
F,<HS,0,NaN,N,I,Married,Y,Sales/Service,1Low,Owner,South,9,A,Donna Upton,Donna.Upton@mail.com
M,Bach,239276,<=35,Y,F,Married,N,Blue Collar,1Low,Owner,West,8,D,Jan Hinze,Jan.Hinze@mail.com
F,Bach,758640,<=25,Y,B,,N,Sales/Service,1Low,Owner,Midwest,4,G,Beatrice Mikkelsen,Beatrice.Mikkelsen@mail.com
F,Grad,859792,NaN,N,B,,U,Sales/Service,3High,Owner,West,8,K,Mary Laney,Mary.Laney@mail.com
M,HS,461854,<=55,Y,B,Married,N,Professional,2Med,Owner,West,1,G,Harry Hassenfritz,Harry.Hassenfritz@mail.com
F,Some College,728447,>65,Y,B,Married,N,Retired,1Low,Owner,West,3,K,Amber Bullard,Amber.Bullard@mail.com
F,Bach,220289,<=55,Y,B,Married,N,Professional,1Low,Owner,South,5,F,Emily Khan,Emily.Khan@mail.com
M,Some College,466956,<=25,Y,C,,Y,Blue Collar,3High,Owner,West,1,L,Omar Wiley,Omar.Wiley@mail.com
M,Some College,515570,NaN,N,A,,N,Professional,3High,Owner,Midwest,3,D,Kurt Klein,Kurt.Klein@mail.com
M,Bach,204828,>65,Y,H,Married,U,Professional,1Low,Renter,South,1,E,Robert Vannoy,Robert.Vannoy@mail.com
M,Bach,64353,<=35,Y,B,,N,Sales/Service,1Low,Owner,South,2,E,George Jackson,George.Jackson@mail.com
M,Some College,59514,>65,Y,D,Married,N,Professional,1Low,Owner,South,1,D,John Mondragon,John.Mondragon@mail.com
F,HS,237140,NaN,N,F,,U,Sales/Service,1Low,Renter,Northeast,7,E,Lisa Johnson,Lisa.Johnson@mail.com
M,<HS,62559,<=45,Y,F,Single,N,Blue Collar,1Low,Renter,Midwest,9,E,Karl Parson,Karl.Parson@mail.com
M,Grad,1170529,<=55,Y,C,Married,Y,Professional,1Low,Owner,West,3,I,Gary Tiry,Gary.Tiry@mail.com
F,HS,0,<=65,N,G,,U,Sales/Service,1Low,Renter,Northeast,3,D,Velma Zuhlke,Velma.Zuhlke@mail.com
M,Bach,332221,<=45,Y,B,Married,Y,Professional,3High,Owner,South,1,E,Martin Robinson,Martin.Robinson@mail.com
M,Some College,117600,<=25,N,F,,U,Blue Collar,1Low,,Midwest,8,D,Brice Anderson,Brice.Anderson@mail.com
M,HS,167260,>65,Y,C,,Y,Retired,2Med,Owner,Midwest,2,E,Calvin Brown,Calvin.Brown@mail.com
F,Some College,598137,<=65,Y,B,Married,N,Professional,1Low,Owner,Northeast,1,L,Phyllis Mason,Phyllis.Mason@mail.com
M,Bach,221313,NaN,N,A,Single,U,Sales/Service,1Low,Renter,West,8,E,Kevin Gilbar,Kevin.Gilbar@mail.com
F,Grad,848728,<=55,Y,B,,N,Professional,2Med,Owner,South,1,J,Tracey Pulido,Tracey.Pulido@mail.com
M,Some College,516130,>65,Y,E,,Y,Retired,1Low,Renter,South,2,F,Russell Sasso,Russell.Sasso@mail.com
F,HS,0,<=55,N,D,Married,N,Sales/Service,1Low,Owner,South,3,A,Dana Turner,Dana.Turner@mail.com
F,HS,333540,<=55,Y,E,Married,Y,Professional,2Med,Owner,Northeast,2,G,Pearlie Lenard,Pearlie.Lenard@mail.com
F,HS,1500000,<=35,N,G,Single,U,Sales/Service,1Low,Renter,South,8,E,Sally Schoen,Sally.Schoen@mail.com
F,Some College,315424,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,6,I,Mary Carder,Mary.Carder@mail.com
F,Bach,0,>65,Y,H,,U,Professional,1Low,Renter,Northeast,7,F,Paulette Jones,Paulette.Jones@mail.com
M,HS,66904,>65,Y,J,,Y,Blue Collar,1Low,Owner,Midwest,7,E,Jason Hannan,Jason.Hannan@mail.com
M,Bach,1790870,<=65,Y,B,Married,N,Professional,1Low,Owner,Northeast,1,G,Franklin Hernandez,Franklin.Hernandez@mail.com
M,Bach,318628,<=55,Y,C,Married,Y,Professional,2Med,Owner,South,1,G,Arthur Reichert,Arthur.Reichert@mail.com
M,Some College,209483,<=55,N,B,Married,Y,Others,1Low,Owner,West,1,F,Scott Phelps,Scott.Phelps@mail.com
M,<HS,70599,NaN,Y,A,,U,Blue Collar,1Low,Owner,Midwest,3,E,Jeffrey Frank,Jeffrey.Frank@mail.com
F,HS,0,NaN,N,G,,U,Professional,1Low,Renter,South,2,D,Patricia Ross,Patricia.Ross@mail.com
F,Bach,277950,<=55,Y,E,Married,Y,Professional,3High,Owner,South,5,H,Elaine Lee,Elaine.Lee@mail.com
M,<HS,329670,<=35,N,F,Married,Y,Sales/Service,1Low,Owner,West,8,F,Thomas Pierson,Thomas.Pierson@mail.com
M,Grad,889440,<=55,N,B,Married,Y,Professional,1Low,Renter,West,1,E,Billy French,Billy.French@mail.com
F,Grad,241363,<=55,Y,I,Married,Y,Professional,1Low,Owner,West,4,E,Nancy Smith,Nancy.Smith@mail.com
U,HS,58075,NaN,N,F,Single,Y,Blue Collar,1Low,Owner,South,8,E,Adeline Ray,Adeline.Ray@mail.com
M,Some College,453222,<=65,N,C,,Y,Professional,1Low,Owner,Midwest,1,G,Gary Chambers,Gary.Chambers@mail.com
M,Some College,514392,<=55,Y,C,Married,Y,Farm,1Low,,South,3,C,Steven Singletary,Steven.Singletary@mail.com
F,Bach,90252,>65,N,D,Married,N,Retired,1Low,Owner,South,5,F,Hermina Thompson,Hermina.Thompson@mail.com
F,Bach,744775,<=25,N,B,,N,Professional,1Low,Owner,Northeast,1,L,Virginia Levine,Virginia.Levine@mail.com
M,HS,224413,<=65,Y,B,Married,N,Professional,2Med,Owner,South,3,G,Gaston Grear,Gaston.Grear@mail.com
M,Grad,142245,<=65,N,F,Married,N,Professional,1Low,Owner,South,2,D,Joey Camacho,Joey.Camacho@mail.com
F,Bach,384007,<=45,Y,C,Married,Y,Professional,2Med,Owner,South,1,K,Anita Mcelhenney,Anita.Mcelhenney@mail.com
F,Bach,272500,<=45,Y,C,,Y,Professional,3High,Owner,Northeast,7,G,Margie Barto,Margie.Barto@mail.com
F,Some College,476766,<=45,Y,C,Married,Y,Professional,3High,Owner,South,1,I,Mary Calvary,Mary.Calvary@mail.com
F,Bach,505062,<=55,Y,C,,N,Professional,2Med,Owner,Northeast,1,D,Kathryn Reid,Kathryn.Reid@mail.com
F,Bach,296425,<=35,Y,B,,Y,Professional,2Med,Owner,Midwest,2,H,Juanita Reaves,Juanita.Reaves@mail.com
M,Bach,112924,NaN,Y,C,Married,Y,Retired,1Low,Renter,Midwest,7,E,Shawn Patel,Shawn.Patel@mail.com
M,Some College,0,<=55,Y,A,Married,N,Professional,1Low,,South,3,F,Joshua Harrington,Joshua.Harrington@mail.com
M,Some College,446355,<=65,Y,B,Married,N,Professional,3High,Owner,Northeast,5,I,Jose Cameron,Jose.Cameron@mail.com
F,Some College,42418,<=55,Y,J,Married,N,Blue Collar,1Low,Owner,Midwest,8,A,Joan Mosley,Joan.Mosley@mail.com
M,Some College,0,NaN,Y,A,Single,N,Professional,1Low,,Midwest,8,E,David Oloughlin,David.Oloughlin@mail.com
F,Some College,157417,<=25,Y,E,Married,U,Blue Collar,1Low,Owner,Northeast,2,E,Barbara Babcock,Barbara.Babcock@mail.com
M,HS,0,<=65,Y,B,Married,N,Blue Collar,1Low,,South,5,C,Paul Lemme,Paul.Lemme@mail.com
F,HS,14616,<=55,N,J,,U,Professional,1Low,Owner,South,2,F,Cheryl Rodriguez,Cheryl.Rodriguez@mail.com
U,Some College,0,NaN,N,E,,Y,Sales/Service,1Low,Renter,South,9,E,Maria Sisneros,Maria.Sisneros@mail.com
M,Bach,85772,>65,Y,J,,U,Retired,1Low,Owner,Midwest,3,I,Francis White,Francis.White@mail.com
M,Some College,216757,>65,Y,F,,U,Professional,1Low,Owner,Northeast,3,I,David Duncan,David.Duncan@mail.com
M,Some College,324983,<=35,N,E,Married,Y,Professional,2Med,Owner,West,8,E,Sergio Kjar,Sergio.Kjar@mail.com
M,HS,103789,<=55,N,E,,Y,Blue Collar,1Low,Owner,South,6,H,William Pasculli,William.Pasculli@mail.com
M,Some College,120479,>65,Y,D,Married,N,Others,1Low,Owner,South,4,D,George Blay,George.Blay@mail.com
M,Bach,572250,<=35,Y,C,,U,Professional,3High,Owner,South,2,K,William Dahle,William.Dahle@mail.com
F,Bach,317724,>65,N,C,Married,Y,Professional,2Med,Owner,South,1,H,Deborah Lewis,Deborah.Lewis@mail.com
F,<HS,198412,<=55,Y,B,Married,U,Professional,1Low,Owner,Northeast,1,I,Velma Wallis,Velma.Wallis@mail.com
