purchased,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income,name,email
N,F,HS,187534,<=65,N,D,,N,Professional,1Low,,Midwest,1,I,Idalia Gant,Idalia.Gant@mail.com
N,M,Some College,0,>65,Y,C,,Y,Retired,1Low,Renter,South,5,E,Gary Vance,Gary.Vance@mail.com
Y,F,Some College,60101,<=45,Y,I,Married,N,Blue Collar,1Low,Owner,South,5,F,Wanda Smith,Wanda.Smith@mail.com
Y,F,Some College,1076211,<=55,Y,C,Married,Y,Professional,3High,Owner,West,1,J,Rachael Webb,Rachael.Webb@mail.com
N,U,HS,0,NaN,N,F,,Y,Blue Collar,1Low,Renter,Northeast,1,D,Pamela Newman,Pamela.Newman@mail.com
N,M,HS,0,<=35,N,E,Married,Y,Blue Collar,1Low,Renter,West,9,D,Christopher Hembree,Christopher.Hembree@mail.com
N,M,<HS,1980213,<=65,Y,C,Married,Y,Professional,3High,Owner,West,1,K,Jay Daniels,Jay.Daniels@mail.com
N,U,Some College,0,NaN,N,G,Single,U,Sales/Service,1Low,,South,9,C,Cordelia Greene,Cordelia.Greene@mail.com
Y,M,Some College,548815,<=25,N,C,,Y,Sales/Service,1Low,Owner,West,8,G,Gilberto Reyes,Gilberto.Reyes@mail.com
N,M,Some College,389348,<=45,Y,E,Married,Y,Blue Collar,3High,Owner,West,2,E,William Olson,William.Olson@mail.com
N,F,Grad,465767,<=65,Y,C,,U,Professional,2Med,Owner,Northeast,1,J,Dorothy Gerardi,Dorothy.Gerardi@mail.com
N,F,<HS,0,NaN,N,I,,N,Sales/Service,1Low,Renter,Midwest,6,A,Tiffany Valley,Tiffany.Valley@mail.com
Y,F,HS,81455,<=25,N,G,,U,Blue Collar,1Low,Renter,Midwest,9,E,Paula Bayers,Paula.Bayers@mail.com
Y,M,Bach,180852,<=35,Y,C,Married,Y,Blue Collar,2Med,Owner,South,4,E,Michael Thompson,Michael.Thompson@mail.com
Y,M,,343459,NaN,Y,B,,N,Others,1Low,Owner,South,1,G,Richard Hopkins,Richard.Hopkins@mail.com
Y,M,Grad,554755,>65,Y,C,,Y,Retired,2Med,Owner,South,2,H,David Gill,David.Gill@mail.com
Y,M,Some College,340080,>65,Y,D,Married,N,Retired,1Low,Owner,South,1,C,James Moody,James.Moody@mail.com
N,F,Some College,149362,NaN,Y,I,,U,Others,1Low,Owner,South,2,E,Ellen Knudson,Ellen.Knudson@mail.com
Y,F,HS,169386,NaN,Y,E,,Y,Sales/Service,2Med,Owner,South,9,D,Heather Parks,Heather.Parks@mail.com
Y,M,Grad,471468,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,1,H,Marvin Price,Marvin.Price@mail.com
Y,F,Bach,421830,NaN,Y,B,Married,U,Professional,3High,Owner,Midwest,2,I,Henrietta Jackson,Henrietta.Jackson@mail.com
Y,M,Bach,269088,<=55,Y,C,Married,Y,Professional,2Med,Owner,Midwest,1,H,Kenneth Rina,Kenneth.Rina@mail.com
N,F,HS,256030,>65,N,D,,N,Retired,1Low,Owner,South,1,G,Kathy Brandt,Kathy.Brandt@mail.com
Y,M,Some College,237118,<=45,Y,H,Married,Y,Sales/Service,1Low,Owner,South,2,A,Henry Johnson,Henry.Johnson@mail.com
N,F,Bach,0,NaN,N,G,Single,N,Sales/Service,1Low,Renter,Rest,8,H,Helen Cox,Helen.Cox@mail.com
Y,M,<HS,208462,<=35,N,F,Married,Y,Sales/Service,1Low,Owner,Northeast,8,C,Bob Thomas,Bob.Thomas@mail.com
N,M,Some College,0,<=45,N,G,Single,Y,Blue Collar,1Low,Renter,West,8,G,Charles Plummer,Charles.Plummer@mail.com
Y,M,Grad,183120,<=55,N,C,Married,U,Professional,1Low,Owner,South,1,K,Steve Scales,Steve.Scales@mail.com
Y,M,Some College,236693,NaN,Y,F,Married,N,Professional,1Low,,Northeast,6,C,Jonathan Johnson,Jonathan.Johnson@mail.com
N,F,Some College,192062,NaN,Y,D,,U,Sales/Service,2Med,Owner,South,1,E,Alesia Ha,Alesia.Ha@mail.com
N,F,Grad,521532,NaN,Y,G,Married,Y,Sales/Service,1Low,Renter,Northeast,6,H,Elizabeth Chafin,Elizabeth.Chafin@mail.com
N,M,Some College,0,<=55,Y,F,,Y,Sales/Service,1Low,Renter,South,6,B,Terry Ota,Terry.Ota@mail.com
N,F,<HS,142016,<=55,N,H,Married,N,Sales/Service,1Low,Owner,South,1,E,Irene Jones,Irene.Jones@mail.com
N,M,HS,42510,NaN,N,G,Single,Y,Blue Collar,1Low,Owner,Northeast,9,C,Jeffery Coleman,Jeffery.Coleman@mail.com
N,F,HS,287651,NaN,Y,C,Married,Y,Professional,2Med,Owner,Midwest,1,G,Stephanie Williams,Stephanie.Williams@mail.com
N,M,<HS,0,NaN,N,J,Married,U,Sales/Service,1Low,,South,9,B,Richard Bingham,Richard.Bingham@mail.com
N,F,Some College,705666,<=25,Y,C,,Y,Sales/Service,1Low,Owner,West,1,G,Ruby Seth,Ruby.Seth@mail.com
N,M,HS,0,NaN,Y,G,,Y,Blue Collar,1Low,Renter,South,9,D,Buster Flaming,Buster.Flaming@mail.com
N,F,Bach,412872,<=65,Y,B,Married,N,Sales/Service,1Low,Owner,South,1,B,Tonya Holland,Tonya.Holland@mail.com
Y,M,HS,290703,>65,Y,D,Married,N,Retired,1Low,Owner,South,3,G,Jerome Bogan,Jerome.Bogan@mail.com
N,F,HS,0,NaN,Y,F,Married,U,Sales/Service,1Low,Owner,West,8,E,Kathy Debarros,Kathy.Debarros@mail.com
N,U,Bach,0,NaN,Y,A,Single,Y,Sales/Service,1Low,Renter,Northeast,7,F,Miriam Lafleur,Miriam.Lafleur@mail.com
Y,M,Some College,0,<=65,Y,E,Married,N,Sales/Service,1Low,Renter,Northeast,5,H,Richard Swineford,Richard.Swineford@mail.com
N,M,Some College,0,<=45,N,G,Single,N,Sales/Service,1Low,Renter,Northeast,5,B,James Mcninch,James.Mcninch@mail.com
Y,M,<HS,223110,<=65,Y,B,Married,N,Blue Collar,1Low,Owner,Midwest,2,E,William Lewis,William.Lewis@mail.com
N,F,HS,163498,>65,N,B,,U,Retired,1Low,Owner,South,2,F,Caitlin Haggard,Caitlin.Haggard@mail.com
N,U,Grad,713405,NaN,N,C,,Y,Sales/Service,1Low,Renter,West,2,G,Kristi Birch,Kristi.Birch@mail.com
Y,M,Grad,715857,<=55,N,B,Married,N,Professional,3High,Owner,Northeast,1,L,Robert Castillo,Robert.Castillo@mail.com
Y,F,Grad,246211,NaN,N,B,Married,U,Others,1Low,Owner,West,1,H,Donna Fields,Donna.Fields@mail.com
N,M,Some College,260161,<=35,Y,E,,N,Blue Collar,1Low,Owner,South,3,H,Alejandro Cipriano,Alejandro.Cipriano@mail.com
N,M,Some College,437057,>65,Y,E,,U,Retired,3High,Owner,Northeast,3,K,William Robles,William.Robles@mail.com
Y,M,<HS,312285,<=45,Y,I,,N,Professional,1Low,Owner,Northeast,1,E,James Poggio,James.Poggio@mail.com
Y,M,Some College,257937,<=65,N,E,Married,Y,Professional,1Low,,West,9,E,Thomas Williamson,Thomas.Williamson@mail.com
N,M,HS,0,NaN,N,G,Single,U,Professional,1Low,Renter,Midwest,9,C,Oliver Trimble,Oliver.Trimble@mail.com
Y,F,Grad,0,<=35,N,A,Married,Y,Sales/Service,1Low,,West,1,D,Rhonda Romero,Rhonda.Romero@mail.com
N,F,HS,0,<=35,N,E,Single,U,Sales/Service,1Low,Renter,South,3,E,Mamie Wilson,Mamie.Wilson@mail.com
Y,F,Grad,0,<=35,N,A,Married,Y,Sales/Service,1Low,Renter,South,4,E,Arlene Snyder,Arlene.Snyder@mail.com
Y,F,HS,0,<=35,N,A,Married,U,Others,1Low,Renter,West,6,C,Rhoda Bowman,Rhoda.Bowman@mail.com
N,F,HS,368420,<=65,Y,E,Married,Y,Sales/Service,2Med,Owner,West,2,F,Janet Harden,Janet.Harden@mail.com
Y,F,HS,253163,NaN,Y,J,,Y,Sales/Service,1Low,Owner,South,2,E,Annie Berlinger,Annie.Berlinger@mail.com
Y,M,Bach,479643,NaN,Y,B,,N,Others,2Med,Owner,South,1,H,Steve Mangrum,Steve.Mangrum@mail.com
Y,M,<HS,194793,<=35,Y,B,,N,Blue Collar,1Low,Owner,South,3,G,Ronald Wirtz,Ronald.Wirtz@mail.com
N,F,HS,45122,>65,Y,J,,N,Retired,1Low,Owner,Midwest,2,A,Ashley Puffinberger,Ashley.Puffinberger@mail.com
N,F,Bach,287269,<=55,Y,A,Single,Y,Sales/Service,1Low,,South,1,G,Helen Pfister,Helen.Pfister@mail.com
Y,M,Bach,289318,<=45,Y,C,Married,Y,Professional,1Low,,South,1,H,Edward Ruth,Edward.Ruth@mail.com
N,F,Grad,511264,<=35,Y,B,,Y,Professional,1Low,Owner,South,1,L,Kelly Stoffregen,Kelly.Stoffregen@mail.com
N,M,Grad,600000,NaN,N,E,Married,U,Sales/Service,1Low,,Midwest,7,F,Joshua Italia,Joshua.Italia@mail.com
Y,M,Grad,494424,<=65,Y,B,Married,N,Professional,1Low,Owner,Northeast,1,H,Lawrence Kepler,Lawrence.Kepler@mail.com
Y,F,Grad,590169,<=65,Y,B,Married,N,Professional,3High,Owner,Northeast,1,L,Leah Sandoval,Leah.Sandoval@mail.com
Y,M,HS,0,>65,N,I,,N,Retired,1Low,Owner,Midwest,5,E,Richard Miller,Richard.Miller@mail.com
N,F,Bach,499520,<=35,N,F,,Y,Sales/Service,1Low,,West,7,C,Beverly Sallee,Beverly.Sallee@mail.com
Y,M,Grad,212342,>65,Y,E,Married,N,Retired,2Med,Owner,West,3,G,Charles Harvey,Charles.Harvey@mail.com
Y,M,Grad,641813,<=35,Y,B,,N,Professional,1Low,Owner,South,1,I,Troy Dean,Troy.Dean@mail.com
Y,M,Some College,0,<=35,Y,E,Married,Y,Others,1Low,Renter,West,9,D,Albert Farr,Albert.Farr@mail.com
N,F,HS,239745,>65,Y,I,,N,Retired,1Low,Owner,West,3,D,Alma Widener,Alma.Widener@mail.com
Y,M,Grad,337966,<=35,N,C,Married,Y,Professional,1Low,Renter,South,1,I,Robert Morales,Robert.Morales@mail.com
Y,M,Grad,683953,<=45,N,B,Married,U,Sales/Service,1Low,Owner,West,1,F,Kelvin Williamson,Kelvin.Williamson@mail.com
Y,F,Bach,1008590,NaN,N,B,,U,Professional,3High,Owner,South,4,K,Leona Herzog,Leona.Herzog@mail.com
N,M,Grad,275900,<=55,Y,C,Married,U,Professional,1Low,Renter,South,2,E,Cecil Hannan,Cecil.Hannan@mail.com
Y,F,Some College,140413,<=35,Y,E,,U,Blue Collar,1Low,Owner,Midwest,4,F,Hazel Jack,Hazel.Jack@mail.com
N,M,Bach,294300,>65,Y,J,Married,Y,Retired,2Med,Owner,South,3,K,Anthony Mitchell,Anthony.Mitchell@mail.com
N,M,Bach,199557,<=45,N,F,Married,Y,Others,1Low,Owner,South,2,F,Paul Clark,Paul.Clark@mail.com
N,F,Bach,333447,<=45,N,B,Married,Y,Professional,1Low,Renter,South,1,G,Tracy Burks,Tracy.Burks@mail.com
Y,F,Bach,510065,>65,Y,B,Married,N,Retired,2Med,Owner,South,1,I,Carol Melo,Carol.Melo@mail.com
N,F,<HS,0,>65,N,D,Married,N,Sales/Service,1Low,Owner,South,5,A,Juana Panzarella,Juana.Panzarella@mail.com
Y,F,<HS,563617,<=45,Y,B,Married,Y,Professional,3High,Owner,West,1,G,Stephanie Johnson,Stephanie.Johnson@mail.com
N,F,Some College,232813,NaN,Y,C,,Y,Sales/Service,2Med,Owner,Midwest,1,G,Allegra Kendal,Allegra.Kendal@mail.com
N,M,HS,220964,<=65,N,F,Married,U,Sales/Service,1Low,Owner,Midwest,6,E,Michael Daugherty,Michael.Daugherty@mail.com
Y,M,Some College,0,<=55,Y,E,Single,U,Professional,1Low,Renter,South,3,D,Jack Maxson,Jack.Maxson@mail.com
Y,M,Grad,403583,>65,Y,C,Married,Y,Retired,1Low,Owner,Northeast,1,H,Alex Kelley,Alex.Kelley@mail.com
Y,M,Grad,221215,>65,Y,E,Married,Y,Retired,2Med,Owner,Northeast,1,F,Heath Brady,Heath.Brady@mail.com
N,M,HS,0,>65,Y,H,Married,N,Retired,1Low,Renter,Northeast,3,B,Michael Butler,Michael.Butler@mail.com
N,M,Bach,146986,<=65,Y,I,Married,N,Professional,2Med,Owner,South,3,E,Stewart Lataille,Stewart.Lataille@mail.com
N,F,Some College,238928,<=25,Y,C,,Y,Sales/Service,1Low,Owner,Northeast,3,G,Janice White,Janice.White@mail.com
Y,M,Some College,688073,<=65,Y,E,,U,Professional,3High,Owner,West,3,G,Tony Bade,Tony.Bade@mail.com
Y,M,Bach,542983,<=65,Y,B,Married,N,Professional,2Med,Owner,Northeast,1,F,Joseph Wright,Joseph.Wright@mail.com
Y,M,Some College,134222,<=65,Y,I,Married,N,Professional,1Low,Owner,Midwest,5,G,Robert Shaffer,Robert.Shaffer@mail.com
Y,M,Grad,1148315,<=65,Y,B,Married,N,Professional,3High,Owner,South,1,F,Timothy Anderson,Timothy.Anderson@mail.com
Y,F,HS,180438,<=35,Y,C,,Y,Professional,1Low,Owner,South,2,E,Ida Canter,Ida.Canter@mail.com
Y,F,Bach,596687,>65,Y,B,Married,N,Retired,3High,Owner,South,1,G,Donna Conway,Donna.Conway@mail.com
Y,M,Some College,0,NaN,N,G,,U,Sales/Service,1Low,Renter,Midwest,3,E,Robert Studeny,Robert.Studeny@mail.com
N,M,Bach,277950,<=55,Y,F,Married,U,Blue Collar,1Low,Owner,Northeast,5,G,Harry Radcliffe,Harry.Radcliffe@mail.com
N,U,HS,0,<=35,Y,B,,Y,Professional,1Low,,Northeast,1,L,Louise Alfaro,Louise.Alfaro@mail.com
Y,F,Grad,147073,<=35,Y,E,,N,Professional,1Low,Owner,Midwest,4,E,Deanna Day,Deanna.Day@mail.com
Y,M,Grad,524638,<=65,Y,B,Married,N,Professional,3High,Owner,South,1,L,Wiley Kaur,Wiley.Kaur@mail.com
N,M,<HS,0,<=35,Y,E,Married,Y,Sales/Service,1Low,Renter,South,7,G,Eldon Rock,Eldon.Rock@mail.com
N,F,Some College,351525,NaN,N,G,Married,Y,Professional,1Low,Renter,Northeast,2,E,Sofia Blasengame,Sofia.Blasengame@mail.com
N,F,Some College,0,<=25,N,G,,Y,Sales/Service,1Low,Renter,South,8,D,Stella Hurt,Stella.Hurt@mail.com
N,U,<HS,0,NaN,N,G,,Y,Blue Collar,1Low,Renter,West,9,E,Joann Clark,Joann.Clark@mail.com
N,F,HS,194543,>65,Y,D,,N,Retired,1Low,Owner,South,2,C,Mary Damon,Mary.Damon@mail.com
N,F,Some College,112226,>65,N,D,Married,N,Retired,1Low,,South,3,A,Eva Matthews,Eva.Matthews@mail.com
N,F,HS,230208,<=55,Y,H,Married,N,Sales/Service,1Low,Owner,South,2,F,Barbara Prieto,Barbara.Prieto@mail.com
Y,M,Some College,335600,<=45,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,H,Jimmy Newby,Jimmy.Newby@mail.com
N,M,HS,422026,<=65,Y,B,Married,N,Professional,2Med,Owner,Midwest,2,F,Anthony Flachs,Anthony.Flachs@mail.com
N,F,Bach,111310,<=45,N,E,Married,Y,Professional,1Low,Owner,Midwest,1,F,Daniel Wallace,Daniel.Wallace@mail.com
N,M,HS,95474,>65,Y,J,,Y,Retired,1Low,Owner,South,3,E,Jared Wies,Jared.Wies@mail.com
Y,M,Bach,241909,<=65,Y,B,,Y,Professional,1Low,Owner,West,2,G,Justin Montelongo,Justin.Montelongo@mail.com
N,M,Some College,258657,NaN,Y,E,,Y,Professional,2Med,Owner,South,2,E,Kyle Pearson,Kyle.Pearson@mail.com
N,F,Bach,261600,<=45,Y,J,Married,Y,Blue Collar,1Low,Owner,South,2,E,Iris Egersdorf,Iris.Egersdorf@mail.com
Y,M,Some College,349105,>65,Y,B,,N,Retired,1Low,Owner,South,1,G,Gregory Cash,Gregory.Cash@mail.com
N,M,HS,663810,>65,Y,B,Married,N,Retired,2Med,Owner,Northeast,6,G,Steven Dixon,Steven.Dixon@mail.com
N,F,Some College,0,<=45,N,E,,U,Professional,1Low,,Midwest,9,D,Patricia Armistead,Patricia.Armistead@mail.com
N,F,Bach,293973,<=45,N,C,Married,Y,Sales/Service,2Med,Owner,Northeast,1,F,Mary Bowdle,Mary.Bowdle@mail.com
Y,U,Some College,0,NaN,N,E,,Y,Blue Collar,1Low,Renter,Northeast,3,A,Susan Jackson,Susan.Jackson@mail.com
Y,M,Bach,338240,NaN,Y,A,Single,U,Professional,1Low,Owner,Northeast,7,E,Douglas Shah,Douglas.Shah@mail.com
N,F,<HS,0,NaN,N,G,Single,Y,Sales/Service,1Low,Renter,South,9,A,Julie Goode,Julie.Goode@mail.com
Y,F,Some College,55263,>65,Y,B,Married,N,Retired,1Low,Owner,Northeast,1,E,Margaret Dennis,Margaret.Dennis@mail.com
N,F,HS,0,<=55,Y,E,,Y,Professional,1Low,Renter,Midwest,9,F,Guadalupe Schutt,Guadalupe.Schutt@mail.com
Y,F,HS,208102,<=55,Y,E,Married,Y,Professional,1Low,Owner,Northeast,3,F,Santos Crews,Santos.Crews@mail.com
Y,M,<HS,680977,<=65,Y,B,Married,N,Professional,3High,Owner,South,2,K,Richard Williams,Richard.Williams@mail.com
N,F,<HS,792157,NaN,N,G,,Y,Others,1Low,Renter,West,7,C,Opal Rademacher,Opal.Rademacher@mail.com
N,F,<HS,173529,<=55,N,F,Married,Y,Blue Collar,1Low,,South,8,E,Clara Degan,Clara.Degan@mail.com
Y,M,Some College,0,NaN,Y,G,Single,U,Sales/Service,1Low,Renter,Midwest,4,C,Drew Guerra,Drew.Guerra@mail.com
Y,M,HS,499220,<=55,Y,B,Married,U,Sales/Service,3High,Owner,Northeast,1,H,Jacob Vargas,Jacob.Vargas@mail.com
Y,M,Bach,0,<=65,N,G,Single,N,Blue Collar,1Low,Owner,Northeast,8,A,Jorge Wyatt,Jorge.Wyatt@mail.com
N,M,Bach,203413,NaN,Y,B,Married,N,Sales/Service,2Med,Owner,South,1,H,James Tucker,James.Tucker@mail.com
Y,M,Some College,331839,<=55,N,F,Single,U,Professional,1Low,Owner,Northeast,4,E,Nathan Marmo,Nathan.Marmo@mail.com
N,F,HS,109893,>65,N,D,Married,N,Professional,1Low,Owner,Midwest,7,D,Megan Parker,Megan.Parker@mail.com
N,M,HS,61421,<=55,N,J,Married,N,Blue Collar,1Low,Owner,Northeast,2,D,Ernie Wong,Ernie.Wong@mail.com
N,F,HS,139203,>65,N,F,,Y,Sales/Service,1Low,Owner,Midwest,7,C,Annie Sorrells,Annie.Sorrells@mail.com
Y,M,HS,1178671,<=55,Y,B,Married,Y,Professional,3High,Owner,South,1,L,Walter Mccomas,Walter.Mccomas@mail.com
N,F,Bach,559213,>65,N,B,,U,Professional,3High,Owner,South,1,L,Eva Jones,Eva.Jones@mail.com
N,F,Bach,705775,<=55,Y,B,Married,N,Professional,3High,Owner,West,1,K,Kathleen Paulseth,Kathleen.Paulseth@mail.com
Y,M,<HS,89347,NaN,N,F,Married,Y,Sales/Service,1Low,Owner,South,8,C,Darryl Smith,Darryl.Smith@mail.com
N,F,Grad,1000000,<=45,Y,B,,Y,Professional,3High,Owner,South,1,I,Barbara Quiroz,Barbara.Quiroz@mail.com
Y,M,Bach,361008,<=55,Y,C,Married,Y,Professional,1Low,Owner,Midwest,1,H,Antonio Fain,Antonio.Fain@mail.com
Y,F,Grad,199333,<=65,N,D,,N,Sales/Service,1Low,Owner,South,2,A,Tammie Long,Tammie.Long@mail.com
Y,M,HS,210500,<=65,Y,B,Married,N,Professional,1Low,Owner,West,6,F,Wilbur Russell,Wilbur.Russell@mail.com
N,M,HS,211787,<=65,Y,I,Married,U,Retired,1Low,Owner,West,3,E,Timothy Stoltz,Timothy.Stoltz@mail.com
Y,M,<HS,286141,NaN,N,E,Married,Y,Blue Collar,2Med,Owner,Northeast,6,D,Walter Rucker,Walter.Rucker@mail.com
Y,F,HS,141700,<=65,Y,B,Married,N,Sales/Service,1Low,Owner,South,4,G,Virginia Burke,Virginia.Burke@mail.com
Y,M,Grad,366648,<=45,Y,C,,Y,Professional,3High,Owner,South,1,G,David Smith,David.Smith@mail.com
N,F,Some College,292556,<=65,N,B,,U,Retired,2Med,Owner,West,1,K,Tracie Reno,Tracie.Reno@mail.com
N,F,Some College,0,<=25,N,G,Single,N,Sales/Service,1Low,Renter,Midwest,1,A,Joyce Marquez,Joyce.Marquez@mail.com
Y,M,Some College,359989,>65,Y,B,Married,U,Retired,3High,Owner,West,1,J,Michael Stevens,Michael.Stevens@mail.com
Y,M,Some College,207972,<=45,Y,D,Married,N,Sales/Service,1Low,Owner,Midwest,2,H,Ryan Kleinman,Ryan.Kleinman@mail.com
Y,F,Bach,177511,<=35,Y,C,,Y,Professional,1Low,Renter,South,2,E,Angela Grindstaff,Angela.Grindstaff@mail.com
Y,M,Some College,0,>65,Y,D,Married,N,Retired,1Low,Owner,Northeast,5,E,Joseph Stults,Joseph.Stults@mail.com
Y,F,Grad,451096,>65,N,B,Married,N,Professional,2Med,Owner,West,2,F,Amy Taylor,Amy.Taylor@mail.com
N,M,HS,44469,NaN,Y,F,,Y,Others,1Low,Owner,West,8,D,Brandon Boyle,Brandon.Boyle@mail.com
N,F,Bach,381500,<=35,Y,C,,Y,Professional,3High,Owner,South,1,J,Anne Neel,Anne.Neel@mail.com
N,M,Grad,174945,<=45,Y,D,Married,N,Professional,1Low,Owner,Midwest,1,F,Mario Davis,Mario.Davis@mail.com
Y,M,Bach,492135,<=45,Y,E,Married,Y,Blue Collar,3High,Owner,South,1,B,William Nistler,William.Nistler@mail.com
N,F,Bach,227919,<=45,Y,C,Married,Y,Sales/Service,2Med,Owner,Midwest,1,L,Stacy Easterling,Stacy.Easterling@mail.com
Y,M,Grad,1005575,>65,Y,B,Married,N,Professional,1Low,Renter,South,1,C,Christopher Street,Christopher.Street@mail.com
Y,F,Bach,438834,<=45,Y,E,,U,Professional,3High,Owner,Northeast,2,F,Vera Cisneros,Vera.Cisneros@mail.com
N,M,<HS,431476,NaN,N,E,,Y,Blue Collar,3High,Owner,West,7,A,Fred Goeltz,Fred.Goeltz@mail.com
Y,F,Grad,830580,<=45,Y,B,Married,Y,Professional,3High,Owner,West,1,J,Luz Davis,Luz.Davis@mail.com
Y,M,Bach,194466,<=45,Y,J,Married,Y,Blue Collar,1Low,Owner,Northeast,2,G,James Wilson,James.Wilson@mail.com
N,M,<HS,408750,<=45,Y,C,,Y,Professional,1Low,Owner,South,1,G,Charles Hogan,Charles.Hogan@mail.com
N,F,HS,384497,<=35,N,F,Married,N,Sales/Service,1Low,Owner,West,3,E,Veronica Murphy,Veronica.Murphy@mail.com
N,F,Some College,111411,<=35,N,J,Married,Y,Blue Collar,1Low,Owner,West,7,E,Carolyn Burton,Carolyn.Burton@mail.com
Y,M,Bach,987932,<=45,Y,C,,Y,Professional,3High,Owner,West,1,H,Paul Forbes,Paul.Forbes@mail.com
Y,M,Bach,5388905,<=45,Y,B,Single,N,Professional,3High,Owner,West,1,G,James Page,James.Page@mail.com
N,F,Bach,406003,<=35,Y,B,,N,Professional,1Low,Owner,Midwest,1,J,Heidi Huffman,Heidi.Huffman@mail.com
Y,F,Grad,214021,>65,N,C,,Y,Professional,1Low,Renter,South,7,E,Martha Miles,Martha.Miles@mail.com
N,F,HS,142768,<=65,Y,E,,Y,Sales/Service,1Low,Owner,Midwest,4,F,Jennifer Flanagan,Jennifer.Flanagan@mail.com
N,M,<HS,52640,NaN,N,I,,Y,Blue Collar,1Low,Owner,South,6,B,Michael Frost,Michael.Frost@mail.com
N,F,HS,52265,>65,N,H,,N,Retired,1Low,Owner,South,3,G,Alice Almond,Alice.Almond@mail.com
N,F,Grad,763680,<=55,Y,B,Married,N,Retired,1Low,Owner,Northeast,1,L,Melissa Larson,Melissa.Larson@mail.com
Y,M,Bach,257839,<=45,Y,C,Married,Y,Sales/Service,1Low,Owner,South,2,I,John Rodriguez,John.Rodriguez@mail.com
N,F,HS,494587,<=55,Y,E,Married,Y,Professional,3High,Owner,Northeast,2,E,Brenda Orman,Brenda.Orman@mail.com
Y,F,Some College,108422,<=45,N,E,,Y,Sales/Service,1Low,Owner,Midwest,6,E,Jessica Tanaka,Jessica.Tanaka@mail.com
Y,F,Bach,495644,<=55,Y,C,Married,Y,Professional,2Med,Owner,West,1,J,Janet Strom,Janet.Strom@mail.com
Y,M,Some College,201333,<=35,Y,F,Married,U,Sales/Service,1Low,Owner,South,3,E,James Price,James.Price@mail.com
N,F,<HS,277078,<=55,Y,E,,Y,Sales/Service,1Low,Owner,Northeast,2,E,Christine Bullock,Christine.Bullock@mail.com
N,F,Some College,431051,NaN,Y,B,,N,Sales/Service,2Med,Owner,West,1,F,Judy Bellocchio,Judy.Bellocchio@mail.com
Y,M,<HS,387277,<=35,N,B,,N,Sales/Service,3High,Owner,Midwest,1,C,William Kohn,William.Kohn@mail.com
Y,M,Bach,247653,<=45,Y,E,Married,Y,Blue Collar,2Med,Owner,Midwest,5,E,Jonas Bell,Jonas.Bell@mail.com
N,M,<HS,154365,<=45,Y,I,,N,Blue Collar,1Low,Owner,Midwest,4,G,Franklin Torrie,Franklin.Torrie@mail.com
Y,M,Some College,0,<=25,Y,J,,N,Sales/Service,1Low,Owner,Midwest,7,E,Mathew Barfield,Mathew.Barfield@mail.com
Y,F,HS,183403,>65,Y,D,Married,N,Retired,1Low,Owner,Midwest,1,F,May Seymore,May.Seymore@mail.com
Y,M,Grad,1469865,<=55,Y,B,Married,Y,Professional,3High,Owner,South,1,K,Cruz Malcolm,Cruz.Malcolm@mail.com
Y,M,<HS,0,<=35,N,E,,U,Blue Collar,1Low,,South,3,H,Keith Vazquez,Keith.Vazquez@mail.com
Y,M,Bach,690765,<=55,Y,C,,U,Professional,3High,Owner,South,1,J,Keith Williamson,Keith.Williamson@mail.com
Y,F,Some College,176580,<=55,Y,C,Married,Y,Others,2Med,Owner,South,2,F,Lois Russell,Lois.Russell@mail.com
Y,M,Some College,583531,<=65,Y,C,Married,N,Blue Collar,3High,Owner,West,8,F,George Warwick,George.Warwick@mail.com
N,F,Bach,247212,<=35,N,B,,N,Professional,2Med,Owner,Midwest,2,F,Lori Webber,Lori.Webber@mail.com
Y,M,HS,0,NaN,N,G,Single,U,Sales/Service,1Low,Renter,West,9,A,Hugo Perez,Hugo.Perez@mail.com
Y,M,Grad,108727,<=65,Y,F,,Y,Retired,1Low,Owner,South,5,E,Russell Rousseau,Russell.Rousseau@mail.com
Y,M,Some College,207536,<=35,Y,C,Married,Y,Professional,2Med,Owner,West,2,F,John Pena,John.Pena@mail.com
N,F,<HS,51570,<=35,Y,G,,Y,Professional,1Low,Renter,South,8,C,Natalie Huff,Natalie.Huff@mail.com
Y,M,Bach,214381,<=55,Y,F,Married,Y,Professional,1Low,Owner,Northeast,4,D,Peter Brown,Peter.Brown@mail.com
N,M,Some College,106711,<=25,Y,C,Married,N,Sales/Service,1Low,Owner,West,3,E,Donald Manship,Donald.Manship@mail.com
N,F,HS,238383,<=65,Y,E,Married,N,Sales/Service,1Low,Owner,West,1,B,Kayleigh Helmick,Kayleigh.Helmick@mail.com
Y,F,Bach,122690,<=65,Y,I,Single,N,Professional,1Low,Owner,South,4,B,Ashley Chapin,Ashley.Chapin@mail.com
Y,M,HS,859901,<=65,Y,B,Married,Y,Professional,2Med,Owner,South,1,K,Preston Shoaff,Preston.Shoaff@mail.com
N,F,HS,0,>65,Y,E,,U,Retired,1Low,Owner,Midwest,3,D,Elizabeth Bowie,Elizabeth.Bowie@mail.com
N,F,<HS,166508,>65,Y,D,,N,Retired,1Low,Owner,South,7,C,Cindy May,Cindy.May@mail.com
